specialty_code;profile;institution_name;education_form;funding;category;plan_places;current_places;fraction
Sp 05.04.02;Пространственное развитие территорий: реализация и управление;УУНиТ;Очная;Бюджетная основа;Общая;11;10;0.9090909090909091
Sp 05.04.02;Геоурбанистика: управление городскими системами;УУНиТ;Заочная;Бюджетная основа;Общая;10;2;0.2
Sp 05.04.02;Организация географической экспертизы проектов;УУНиТ;Заочная;Бюджетная основа;Общая;10;4;0.4
Sp 05.04.02;Геоурбанистика: управление городскими системами;УУНиТ;Заочная;Бюджетная основа;Целевая;1;0;0.0
Sp 05.04.02;Организация географической экспертизы проектов;УУНиТ;Заочная;Бюджетная основа;Целевая;1;0;0.0
Sp 05.04.02;Пространственное развитие территорий: реализация и управление;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 05.04.03;Картография и геоинформатика;УУНиТ;Очная;Бюджетная основа;Общая;11;10;0.9090909090909091
Sp 05.04.03;Картография и геоинформатика;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 05.04.04;Гидрометеорология;УУНиТ;Очная;Бюджетная основа;Общая;11;6;0.5454545454545454
Sp 05.04.04;Гидрометеорология;УУНиТ;Очная;Бюджетная основа;Целевая;1;1;1.0
Sp 05.04.06;Экологический инжиниринг и аудит;УУНиТ;Очная;Бюджетная основа;Общая;10;9;0.9
Sp 05.04.06;Зеленая химия для устойчивого развития;УУНиТ;Очная;Бюджетная основа;Общая;5;1;0.2
Sp 05.04.06;Биоэкология и инновационные технологии в селекции и растениеводстве;УУНиТ;Очная;Бюджетная основа;Общая;10;7;0.7
Sp 05.04.06;Общая экология;УУНиТ;Очно-заочная;Бюджетная основа;Общая;15;2;0.13333333333333333
Sp 05.04.06;Биоэкология и инновационные технологии в селекции и растениеводстве;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 05.04.06;Общая экология;УУНиТ;Очно-заочная;Бюджетная основа;Целевая;2;0;0.0
Sp 05.04.06;Экологический инжиниринг и аудит;УУНиТ;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 06.03.01;Биология;УУНиТ;Очная;Бюджетная основа;Общая;50;17;0.34
Sp 06.03.01;Биология;УУНиТ;Очная;Бюджетная основа;Особая;5;0;0.0
Sp 06.03.01;Биология;УУНиТ;Очная;Бюджетная основа;Отдельная;5;0;0.0
Sp 06.03.01;Биология;УУНиТ;Очная;Бюджетная основа;Целевая;3;0;0.0
Sp 06.03.01;Биология;УУНиТ;Очно-заочная;Бюджетная основа;Общая;20;7;0.35
Sp 06.03.01;Биология;УУНиТ;Очно-заочная;Бюджетная основа;Особая;2;0;0.0
Sp 06.03.01;Биология;УУНиТ;Очно-заочная;Бюджетная основа;Отдельная;2;0;0.0
Sp 06.03.01;Биология;УУНиТ;Очно-заочная;Бюджетная основа;Целевая;1;0;0.0
Sp 06.03.01;Биология (Сибай);Филиал в г. Сибай;Очная;Бюджетная основа;Общая;25;16;0.64
Sp 06.03.01;Биология (Сибай);Филиал в г. Сибай;Очная;Бюджетная основа;Особая;3;1;0.3333333333333333
Sp 06.03.01;Биология (Сибай);Филиал в г. Сибай;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 06.03.01;Биология (Сибай);Филиал в г. Сибай;Очная;Бюджетная основа;Целевая;1;0;0.0
Sp 06.03.01;Биология (Сибай);Филиал в г. Сибай;Очно-заочная;Бюджетная основа;Общая;15;15;1.0
Sp 06.03.01;Биология (Сибай);Филиал в г. Сибай;Очно-заочная;Бюджетная основа;Особая;2;0;0.0
Sp 06.03.01;Биология (Сибай);Филиал в г. Сибай;Очно-заочная;Бюджетная основа;Отдельная;2;0;0.0
Sp 06.03.01;Биология (Сибай);Филиал в г. Сибай;Очно-заочная;Бюджетная основа;Целевая;1;0;0.0
Sp 06.03.01;Биология (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;25;8;0.32
Sp 06.03.01;Биология (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Особая;3;0;0.0
Sp 06.03.01;Биология (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Отдельная;3;0;0.0
Sp 06.03.01;Биология (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;1;1;1.0
Sp 06.04.01;Биология;УУНиТ;Очная;Бюджетная основа;Общая;19;14;0.7368421052631579
Sp 06.04.01;Биология;УУНиТ;Очно-заочная;Бюджетная основа;Общая;10;10;1.0
Sp 06.04.01;Биология (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Общая;15;9;0.6
Sp 06.04.01;Биология (Стерлитамак);Филиал в г. Стерлитамак;Очно-заочная;Бюджетная основа;Общая;11;4;0.36363636363636365
Sp 06.04.01;Биология (Стерлитамак);Филиал в г. Стерлитамак;Очная;Бюджетная основа;Целевая;2;1;0.5
Sp 06.04.01;Биология (Стерлитамак);Филиал в г. Стерлитамак;Очно-заочная;Бюджетная основа;Целевая;1;0;0.0
Sp 06.04.01;Биология;УУНиТ;Очная;Бюджетная основа;Целевая;2;0;0.0
Sp 06.04.01;Биология;УУНиТ;Очно-заочная;Бюджетная основа;Целевая;1;0;0.0
